number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
345;А. А. Воейкова;м;17 октября 1817;Москва;Милый, бесценный друг Саша;Милый, бесценный друг Саша, здравствуй из Москвы;;15;549;;РО ИРЛИ. Р. I. Оп. 9. No 112. Л. 9—10 об. Б. г.;;Соловьев. Т. 1. С. 62—65;автограф
346;Н. М. Лонгинов;м;20 октября 1817;Москва;милостивый государь Николай Михайлович;Я был у Вас, милостивый государь Николай Михайлович, но не имел удовольствия застать Вас дома;Ваш покорнейший слуга Жуковский;15;551;;РО ИРЛИ. No 23678 (архив Н. М. Лонгинова). Л. 8;;ПСС Жуковский в 20 т., т. 15;автограф
347;Великий князь Николай Павлович;м;между 11 и 21 октября 1817;Москва;Ваше Императорское Величество;Я имел честь представлять Вашему Императорскому Высочеству о своем жалованьи;;15;552;;РНБ. Опись 2. No 233. Л. 1—1 об. Б. д.;;РА, 1900. Кн. 3. No 9. С. 39—40. («Неизданные письма В. А. Жуковского. С примечаниями И. А. Бычкова». На с. 5 ко всей публикации имеется следующее примечание: «*печатаются с подлинников, хранящихся в Императорской Публичной Библиотеке»);автограф
348;А. И. Тургенев;м;Около 22 октября 1817;Москва;"милый друг; арзамасовцы";Здравствуй, милый друг, и здравствуйте, арзамазцы;;15;553;;РНБ. Оп. 2. No 155. Л. 1. Б. д.;;ПЖТ. С. 181;автограф
349;А. И. Тургенев;м;26 октября 1817 ;Москва;милостивый государь мой, друг Александр Иванович;Я исполнил твое приказание, милостивый государь мой, друг Александр Иванович;Ж.;15;553;;РНБ. Оп. 2. No 155. Л. 3—4. Б. г.;;ПЖТ. С. 181—183;автограф
350;Н. М. Карамзин;м;8 ноября 1817 ;Москва;почтеннейший друг Николай Михайлович;Завтра, почтеннейший друг Николай Михайлович, еду с нашим бедным князем в Остафьево: отвозим туда гроб его сына;;15;555;;РНБ. Оп. 2. No 110. Л. 1—2. С надписью на конверте: «Его Высокородию Николаю Михайловичу Карамзину». Б. г.;;РА. 1900. No 9. С. 38—39;автограф
351;А. И. Тургенев;м;8 ноября 1817;Москва;;Я не успел написать к тебе в прошедший понедельник. Вот в чем дело;;15;556;;РНБ. Оп. 2. No 155. Л. 6—6 об. Б. г.;;ПЖТ. С. 184—185;автограф
352;А. И. Тургенев;м;9 ноября 1817;Москва;милый;Здравствуй, милый! Пишу к тебе по повелению твоей матушки, у которой я был вчера и которая вот что от тебя требует;Твой Жуковский ;15;557;;РНБ. Оп. 2. No 155. Л. 5. Б. д.;;ПЖТ. С. 183—184;автограф
353;А. А. Воейкова;ж;27 ноября 1817;Москва;Душа моя Саша;Душа моя Саша, я не ответил на прелестное письмо твое;;15;557;;РО ИРЛИ. Р. I. Оп. 9. No 112. Л. 11—11 об. Б. г.;Соловьев. Т. 1. С. 65—66.;Соловьев. Т. 1. С. 65—66.;автограф
354;А. П. Киреевская (Елагина);ж;ноябрь—декабрь 1817;Москва;Милая Дуняша;Милая Дуняша, посылаю Вам шестьдесят рублей;;15;559;;неизвестен;РНБ. Оп. 2. No 442. Л. 12, с пометами: «(1817. СПб. Октябрь)» и «Не надо». См. вступительное примечание к письму Жуковского к А. П. Елагиной от второй половины сентября 1814 г.;УС. С. 27, с пометой: «(Москва. Ноябрь—декабрь 1817 г.)»;копия
355;Д. Н. Блудов;м;Декабрь 1817 ;Москва;Друг сердечный;Друг сердечный, прости ты меня, окаянного друга!;;15;559;стих.;РГАЛИ. Ф. 72. Оп. 1. No 5. Л. 14. Б. д.;;Черниговский Д. Н. Неизвестное послание И. М. Долгорукова к В. А. Жуковскому // Анализ литературного произведения: Сб. науч. трудов. Киров, 1995. С. 22 (начало в примечании). Полностью: РЛ. 2009. No 3;автограф
356;С. И. Тургенев;м;Конец 1817;Москва;;До сих пор я писал как секретарь, теперь пишу к тебе, любезный Сергей Иванович, как сам, то есть как Жуковский;Жуковский;15;559;;неизвестен;;"Декабрист Н. И. Тургенев. Письма к брату С. И. Тур­геневу. М.; Л., 1936. С. 484.";текст первой публикации
357;А. И. Тургенев;м;Конец 1817 — начало 1818;Москва;;Ты ленишься и бранишь меня за лень. Что за справедливость;Ж.;15;560;;РНБ. Оп. 2. No 155. Л. 7. Б. г.;;ПЖТ. С. 185.;автограф
358;А. И. Тургенев;м;Вторая половина января 1818;Москва;мой милый друг;Посылаю тебе, мой милый друг, два экземпляра моих сочинений и прошу отдать их тотчас в переплет к Зегельхену;Ж.;16;7;;РНБ. Оп. 2. No 155. Л. 8—8 об. Б. д.;;ПЖТ. С. 185—186;автограф
359;А. И. Тургенев;м;Конец января — начало февраля 1818;Москва;Милый;Милый, спешу послать к тебе мой аттестат, данный мне от Маркова;;16;7;;РНБ. Оп. 2. No 155. Л. 10. Б. д.;;ПЖТ. С. 186—187;автограф
360;А. И. Тургенев;м;Начало февраля 1818;Москва;;Я сейчас был у князя. Он сказал мне, что записку обо мне отправил к Козодавлеву;Ж.;16;8;;РНБ. Оп. 2. No 155. Л. 11. Б. д.;;ПЖТ. С. 187;автограф
361;Т. Е. Бок;м;18 февраля 1818;Москва;Бесценный дру;Бесценный друг! Ты, надеюсь, не сердит на меня за мое молчание;Жуковский;16;8;;неизвестен;РНБ. Оп. 2. No 81. Л. 1—1 об. Б. д.;Летописи русской литературы и древности. М., 1859. Т. 1. Кн. 2. Отд. 1. С. 72 — в составе статьи Н. Лыжина «Знакомство Жуковского со взглядами романтической школы»;копия
